Type,X,Y
Salt,26,296
Salt,394,83
Salt,67,393
Salt,240,261
Salt,57,184
Salt,132,28
Salt,313,152
Salt,36,306
Salt,58,384
Salt,72,114
Salt,328,73
Salt,2,223
Salt,301,208
Salt,84,196
Salt,185,342
Salt,267,348
Salt,305,101
Salt,85,364
Salt,311,277
Salt,303,131
Salt,380,186
Salt,393,222
Salt,82,195
Salt,164,167
Salt,105,247
Salt,144,147
Salt,43,331
Salt,69,346
Salt,47,380
Salt,135,264
Salt,227,232
Salt,92,399
Salt,104,19
Salt,19,228
Salt,59,71
Salt,40,103
Salt,36,245
Salt,398,107
Salt,169,66
Salt,160,151
Salt,389,253
Salt,47,209
Salt,244,391
Salt,102,260
Salt,81,190
Salt,185,223
Salt,330,117
Salt,301,37
Salt,375,260
Salt,249,81
Salt,101,144
Salt,87,15
Salt,256,398
Salt,360,353
Salt,175,257
Salt,135,372
Salt,65,48
Salt,258,373
Salt,64,272
Salt,228,316
Salt,360,95
Salt,240,70
Salt,123,66
Salt,129,310
Salt,162,150
Salt,389,327
Salt,260,124
Salt,358,20
Salt,334,242
Salt,219,227
Salt,362,63
Salt,34,157
Salt,285,259
Salt,201,107
Salt,20,250
Salt,370,177
Salt,332,304
Salt,60,71
Salt,368,270
Salt,275,274
Salt,88,205
Salt,252,232
Salt,42,220
Salt,375,217
Salt,105,94
Salt,348,330
Salt,205,259
Salt,302,290
Salt,352,339
Salt,59,300
Salt,51,180
Salt,184,9
Salt,8,307
Salt,305,307
Salt,313,250
Salt,114,160
Salt,196,185
Salt,373,65
Salt,370,61
Salt,134,236
Salt,304,226
Salt,296,235
Salt,186,34
Salt,5,354
Salt,300,341
Salt,32,59
Salt,352,304
Salt,147,195
Salt,284,60
Salt,325,186
Salt,202,73
Salt,144,320
Salt,64,389
Salt,284,75
Salt,63,272
Salt,174,304
Salt,354,195
Salt,239,362
Salt,163,261
Salt,346,168
Salt,301,231
Salt,69,132
Salt,103,56
Salt,71,199
Salt,254,54
Salt,167,53
Salt,254,354
Salt,251,21
Salt,137,375
Salt,392,227
Salt,282,369
Salt,393,204
Salt,300,270
Salt,143,266
Salt,377,387
Salt,338,117
Salt,238,344
Salt,351,160
Salt,264,277
Salt,137,276
Salt,6,136
Salt,73,319
Salt,318,170
Salt,382,103
Salt,378,90
Salt,110,227
Salt,172,164
Salt,223,283
Salt,41,146
Salt,101,220
Salt,396,105
Salt,19,107
Salt,81,31
Salt,224,360
Salt,7,267
Salt,342,235
Salt,399,204
Salt,245,67
Salt,199,43
Salt,87,310
Salt,151,92
Salt,28,291
Salt,126,162
Salt,238,311
Salt,14,369
Salt,208,60
Salt,198,374
Salt,152,86
Salt,55,393
Salt,94,392
Salt,262,232
Salt,277,31
Salt,284,287
Salt,104,381
Salt,383,129
Salt,254,324
Salt,282,329
Salt,83,315
Salt,187,321
Salt,358,167
Salt,357,358
Salt,77,272
Salt,182,262
Salt,248,255
Salt,291,223
Salt,78,17
Salt,337,182
Salt,271,187
Salt,365,271
Salt,237,142
Salt,153,104
Salt,234,140
Salt,371,159
Salt,381,342
Salt,398,222
Salt,229,319
Salt,371,369
Salt,78,349
Salt,238,391
Salt,242,180
Salt,68,197
Salt,353,197
Salt,368,243
Salt,303,28
Salt,364,62
Salt,110,107
Salt,78,184
Salt,73,280
Salt,216,214
Salt,75,322
Salt,265,5
Salt,287,278
Salt,153,151
Salt,354,217
Salt,26,247
Salt,165,208
Salt,304,87
Salt,217,67
Salt,172,150
Salt,56,35
Salt,135,62
Salt,223,397
Salt,128,233
Salt,162,394
Salt,159,252
Salt,28,206
Salt,103,249
Salt,91,273
Salt,76,352
Salt,33,377
Salt,268,19
Salt,99,151
Salt,70,24
Salt,316,196
Salt,233,393
Salt,30,283
Salt,327,275
Salt,23,178
Salt,85,35
Salt,184,162
Salt,115,364
Salt,366,330
Salt,112,160
Salt,225,266
Salt,67,397
Salt,360,12
Salt,323,172
Salt,62,332
Salt,147,44
Salt,35,249
Salt,47,45
Salt,184,179
Salt,145,147
Salt,166,201
Salt,29,1
Salt,339,13
Salt,261,111
Salt,121,242
Salt,228,179
Salt,165,340
Salt,280,50
Salt,115,393
Salt,311,268
Salt,150,275
Salt,109,293
Salt,320,300
Salt,84,5
Salt,22,204
Salt,8,214
Salt,236,134
Salt,392,197
Salt,9,384
Salt,83,108
Salt,306,79
Salt,373,59
Salt,40,110
Salt,175,377
Salt,394,41
Salt,321,340
Salt,39,110
Salt,366,324
Salt,134,17
Salt,179,301
Salt,213,141
Salt,307,153
Salt,392,207
Salt,18,7
Salt,95,29
Salt,17,125
Salt,232,29
Salt,253,116
Salt,370,206
Salt,184,222
Salt,319,259
Salt,326,228
Salt,254,109
Salt,296,108
Salt,120,398
Salt,69,54
Salt,201,361
Salt,126,365
Salt,357,275
Salt,334,365
Salt,379,209
Salt,271,198
Salt,367,376
Salt,342,370
Salt,175,69
Salt,9,326
Salt,19,182
Salt,376,30
Salt,393,370
Salt,125,9
Salt,390,67
Salt,393,294
Salt,8,280
Salt,41,294
Salt,369,193
Salt,133,108
Salt,35,258
Salt,207,368
Salt,322,59
Salt,157,1
Salt,57,197
Salt,13,320
Salt,49,139
Salt,283,167
Salt,103,66
Salt,121,107
Salt,367,331
Salt,67,98
Salt,362,71
Salt,205,292
Salt,118,100
Salt,380,78
Salt,76,172
Salt,198,225
Salt,64,97
Salt,214,210
Salt,368,266
Salt,357,82
Salt,368,378
Salt,160,80
Salt,158,336
Salt,233,25
Salt,94,142
Salt,276,257
Salt,153,236
Salt,251,370
Salt,103,240
Salt,245,247
Salt,73,392
Salt,105,199
Salt,282,39
Salt,258,195
Salt,163,229
Salt,238,337
Salt,300,78
Salt,173,191
Salt,146,213
Salt,165,329
Salt,281,0
Salt,126,58
Salt,168,5
Salt,202,191
Salt,147,292
Salt,164,395
Salt,184,135
Salt,215,303
Salt,131,251
Salt,260,210
Salt,205,309
Salt,382,140
Salt,164,330
Salt,308,274
Salt,220,335
Salt,240,78
Salt,260,392
Salt,120,4
Salt,359,60
Salt,72,247
Salt,46,77
Salt,32,329
Salt,159,345
Salt,297,22
Salt,253,230
Salt,165,380
Salt,151,186
Salt,243,286
Salt,55,170
Salt,316,275
Salt,92,382
Salt,129,387
Salt,284,157
Salt,318,303
Salt,313,12
Salt,165,327
Salt,327,5
Salt,284,95
Salt,258,157
Salt,262,42
Salt,164,179
Salt,31,158
Salt,253,90
Salt,219,194
Salt,392,200
Salt,314,233
Salt,213,85
Salt,83,273
Salt,290,6
Salt,191,14
Salt,341,19
Salt,225,18
Salt,132,326
Salt,299,149
Salt,38,321
Salt,341,258
Salt,11,215
Salt,66,386
Salt,167,315
Salt,293,262
Salt,188,132
Salt,255,323
Salt,286,390
Salt,107,314
Salt,47,333
Salt,116,166
Salt,376,12
Salt,177,47
Salt,55,386
Salt,329,309
Salt,357,379
Salt,331,115
Salt,293,214
Salt,90,122
Salt,163,380
Salt,74,78
Salt,285,74
Salt,54,234
Salt,354,229
Salt,357,122
Salt,283,57
Salt,37,140
Salt,207,198
Salt,90,71
Salt,356,182
Salt,126,132
Salt,235,384
Salt,364,330
Salt,195,163
Salt,41,131
Salt,82,184
Salt,245,55
Salt,250,277
Salt,157,344
Salt,123,283
Salt,305,141
Salt,344,179
Salt,238,238
Salt,96,222
Salt,355,76
Salt,144,311
Salt,109,68
Salt,50,335
Salt,342,199
Salt,336,15
Salt,231,195
Salt,77,177
Salt,126,160
Salt,27,218
Salt,202,133
Salt,300,351
Salt,195,330
Salt,398,164
Salt,374,259
Salt,126,224
Salt,130,348
Salt,330,199
Salt,109,238
Salt,261,169
Salt,64,108
Salt,47,301
Salt,11,55
Salt,96,131
Salt,150,116
Salt,74,189
Salt,399,309
Salt,121,90
Salt,364,7
Salt,202,325
Salt,176,377
Salt,219,383
Salt,114,349
Salt,7,383
Salt,164,378
Salt,307,34
Salt,95,195
Salt,70,336
Salt,123,205
Salt,171,238
Salt,269,224
Salt,204,173
Salt,80,355
Salt,76,3
Salt,288,96
Salt,357,339
Salt,205,195
Salt,345,375
Salt,62,111
Salt,13,214
Salt,354,389
Salt,372,66
Salt,285,352
Salt,147,224
Salt,66,172
Salt,377,241
Salt,106,173
Salt,56,394
Salt,335,392
Salt,299,338
Salt,303,253
Salt,177,337
Salt,120,314
Salt,261,296
Salt,63,310
Salt,295,23
Salt,354,256
Salt,164,103
Salt,4,369
Salt,171,42
Salt,350,314
Salt,165,122
Salt,358,95
Salt,385,137
Salt,282,387
Salt,44,111
Salt,399,258
Salt,240,145
Salt,42,218
Salt,149,21
Salt,121,48
Salt,194,209
Salt,17,251
Salt,370,81
Salt,299,204
Salt,21,308
Salt,25,0
Salt,106,0
Salt,375,311
Salt,218,303
Salt,0,366
Salt,375,138
Salt,241,69
Salt,119,224
Salt,272,31
Salt,132,77
Salt,65,25
Salt,318,106
Salt,67,168
Salt,170,142
Salt,309,123
Salt,367,137
Salt,268,300
Salt,32,103
Salt,346,165
Salt,26,11
Salt,140,367
Salt,27,73
Salt,226,56
Salt,105,271
Salt,351,262
Salt,346,130
Salt,322,271
Salt,240,102
Salt,1,21
Salt,169,202
Salt,315,128
Salt,283,210
Salt,374,204
Salt,113,154
Salt,315,2
Salt,85,236
Salt,234,351
Salt,182,53
Salt,305,132
Salt,354,344
Salt,374,313
Salt,146,10
Salt,13,14
Salt,333,207
Salt,198,200
Salt,88,137
Salt,229,295
Salt,312,184
Salt,305,383
Salt,87,320
Salt,96,32
Salt,57,299
Salt,35,351
Salt,191,283
Salt,6,218
Salt,53,312
Salt,295,363
Salt,195,331
Salt,103,382
Salt,69,181
Salt,20,43
Salt,166,250
Salt,184,173
Salt,295,191
Salt,47,292
Salt,348,64
Salt,107,107
Salt,271,64
Salt,144,99
Salt,21,354
Salt,49,211
Salt,345,96
Salt,236,393
Salt,20,317
Salt,75,204
Salt,334,161
Salt,383,3
Salt,78,190
Salt,219,157
Salt,206,164
Salt,32,213
Salt,294,28
Salt,389,2
Salt,142,89
Salt,106,377
Salt,347,231
Salt,340,40
Salt,279,186
Salt,201,219
Salt,172,294
Salt,53,41
Salt,95,114
Salt,230,372
Salt,287,160
Salt,106,65
Salt,58,373
Salt,173,361
Salt,77,381
Salt,128,350
Salt,279,87
Salt,14,27
Salt,384,266
Salt,306,21
Salt,297,66
Salt,31,320
Salt,275,14
Salt,262,50
Salt,143,309
Salt,309,57
Salt,372,317
Salt,116,11
Salt,355,18
Salt,76,274
Salt,153,249
Salt,367,143
Salt,380,107
Salt,153,116
Salt,203,201
Salt,81,362
Salt,78,191
Salt,291,375
Salt,174,214
Salt,55,302
Salt,140,169
Salt,42,89
Salt,151,157
Salt,58,227
Salt,398,357
Salt,399,42
Salt,363,216
Salt,94,101
Salt,259,316
Salt,286,3
Salt,5,219
Salt,335,82
Salt,284,33
Salt,41,116
Salt,310,95
Salt,161,17
Salt,121,249
Salt,59,293
Salt,204,345
Salt,185,50
Salt,155,103
Salt,217,259
Salt,262,37
Salt,37,237
Salt,83,84
Salt,249,106
Salt,62,35
Salt,327,99
Salt,30,42
Salt,17,283
Salt,57,350
Salt,349,202
Salt,176,88
Salt,92,90
Salt,45,395
Salt,140,355
Salt,275,240
Salt,258,55
Salt,50,213
Salt,84,352
Salt,166,332
Salt,378,300
Salt,281,85
Salt,307,299
Salt,255,397
Salt,257,225
Salt,298,313
Salt,223,282
Salt,60,379
Salt,107,143
Salt,292,156
Salt,45,201
Salt,366,322
Salt,175,142
Salt,167,19
Salt,382,211
Salt,223,153
Salt,240,229
Salt,294,377
Salt,78,228
Salt,74,229
Salt,327,305
Salt,127,24
Salt,143,295
Salt,362,29
Salt,312,340
Salt,211,145
Salt,167,180
Salt,86,122
Salt,87,111
Salt,155,388
Salt,151,126
Salt,365,170
Salt,224,169
Salt,141,357
Salt,223,321
Salt,351,91
Salt,331,251
Salt,398,204
Salt,374,100
Salt,141,196
Salt,178,102
Salt,273,30
Salt,192,362
Salt,176,353
Salt,301,84
Salt,139,325
Salt,287,335
Salt,394,292
Salt,271,177
Salt,194,106
Salt,389,245
Salt,261,395
Salt,32,107
Salt,280,282
Salt,61,94
Salt,71,159
Salt,270,266
Salt,51,382
Salt,392,294
Salt,44,181
Salt,373,166
Salt,316,331
Salt,367,244
Salt,27,364
Salt,122,360
Salt,1,70
Salt,233,140
Salt,5,68
Salt,50,235
Salt,287,241
Salt,72,172
Salt,264,234
Salt,185,105
Salt,171,226
Salt,184,62
Salt,356,341
Salt,167,397
Salt,164,11
Salt,245,1
Salt,51,296
Salt,246,332
Salt,316,295
Salt,263,190
Salt,115,385
Salt,164,127
Salt,366,4
Salt,314,384
Salt,226,321
Salt,159,244
Salt,291,217
Salt,386,302
Salt,40,44
Salt,261,159
Salt,112,174
Salt,116,151
Salt,122,129
Salt,80,230
Salt,330,25
Salt,73,48
Salt,216,290
Salt,104,143
Salt,375,392
Salt,372,321
Salt,147,19
Salt,273,244
Salt,177,249
Salt,67,184
Salt,303,29
Salt,274,12
Salt,175,103
Salt,2,279
Salt,265,229
Salt,21,90
Salt,21,219
Salt,211,259
Salt,247,179
Salt,333,15
Salt,399,17
Salt,365,6
Salt,162,19
Salt,267,389
Salt,213,234
Salt,226,29
Salt,18,270
Salt,40,342
Salt,42,73
Salt,211,224
Salt,148,351
Salt,303,207
Salt,35,202
Salt,394,371
Salt,23,279
Salt,188,389
Salt,241,304
Salt,324,337
Salt,182,368
Salt,379,92
Salt,395,285
Salt,267,336
Salt,280,392
Salt,309,355
Salt,174,75
Salt,161,222
Salt,322,76
Salt,29,256
Salt,261,108
Salt,223,201
Salt,298,361
Salt,127,115
Salt,233,217
Salt,70,14
Salt,323,119
Salt,179,233
Salt,80,351
Salt,12,192
Salt,399,368
Salt,88,371
Salt,185,156
Salt,40,342
Salt,285,131
Salt,268,19
Salt,321,284
Salt,128,148
Salt,27,305
Salt,333,351
Salt,65,381
Salt,190,96
Salt,97,31
Salt,92,383
Salt,55,235
Salt,27,249
Salt,258,291
Salt,329,195
Salt,96,22
Salt,143,74
Salt,365,190
Salt,333,177
Salt,239,227
Salt,153,296
Salt,386,374
Salt,266,39
Salt,226,218
Salt,352,177
Salt,306,157
Salt,288,148
Salt,273,224
Salt,229,35
Salt,277,19
Salt,155,288
Salt,397,208
Salt,271,276
Salt,47,293
Salt,332,169
Salt,65,363
Salt,277,153
Salt,297,97
Salt,51,375
Salt,278,321
Salt,346,77
Salt,272,337
Salt,131,147
Salt,233,227
Salt,270,179
Salt,47,216
Salt,27,230
Salt,21,119
Salt,223,378
Salt,96,336
Salt,116,0
Salt,69,314
Salt,63,275
Salt,148,97
Salt,370,344
Salt,303,46
Salt,144,76
Salt,31,236
Salt,121,330
Salt,29,232
Salt,191,370
Salt,234,259
Salt,196,200
Salt,149,95
Salt,269,129
Salt,139,339
Salt,356,375
Salt,189,314
Salt,147,338
Salt,330,294
Salt,220,14
Salt,66,376
Salt,133,322
Salt,335,261
Salt,41,343
Salt,226,215
Salt,59,125
Salt,319,235
Salt,245,263
Salt,161,215
Salt,388,191
Salt,193,187
Salt,188,333
Salt,30,94
Salt,390,27
Salt,336,65
Salt,223,316
Salt,6,379
Salt,207,175
Salt,249,44
Salt,399,216
Salt,148,27
Salt,30,262
Salt,117,65
Salt,393,381
Salt,244,111
Salt,94,15
Salt,190,201
Salt,35,377
Salt,81,328
Salt,9,71
Salt,346,36
Salt,168,108
Salt,81,96
Salt,224,85
Salt,139,265
Salt,10,207
Salt,336,124
Salt,265,392
Salt,177,146
Salt,28,172
Salt,17,237
Salt,334,86
Salt,129,137
Salt,302,261
Salt,308,46
Salt,104,321
Salt,399,130
Salt,233,29
Salt,287,293
Salt,199,247
Salt,77,163
Salt,237,381
Salt,45,31
Salt,339,58
Salt,13,96
Salt,262,289
Salt,145,134
Salt,393,174
Salt,242,136
Salt,56,396
Salt,48,253
Salt,298,360
Salt,20,246
Salt,17,31
Salt,206,213
Salt,318,228
Salt,320,23
Salt,313,54
Salt,29,247
Salt,368,339
Salt,160,163
Salt,241,398
Salt,168,185
Salt,363,114
Salt,250,99
Salt,155,312
Salt,173,70
Salt,126,196
Salt,32,160
Salt,212,120
Salt,295,343
Salt,253,157
Salt,307,291
Salt,252,125
Salt,373,79
Salt,58,262
Salt,296,301
Salt,65,225
Salt,164,289
Salt,24,120
Salt,93,168
Salt,26,355
Salt,396,173
Salt,276,372
Salt,103,244
Salt,223,384
Salt,76,64
Salt,85,234
Salt,167,351
Salt,25,208
Salt,57,151
Salt,186,369
Salt,8,99
Salt,365,369
Salt,395,78
Salt,263,250
Salt,350,138
Salt,318,377
Salt,131,388
Salt,64,19
Salt,226,60
Salt,243,133
Salt,291,276
Salt,72,193
Salt,255,124
Salt,329,153
Salt,377,27
Salt,127,258
Salt,266,211
Salt,258,203
Salt,30,223
Salt,138,158
Salt,262,250
Salt,138,297
Salt,110,139
Salt,361,147
Salt,328,177
Salt,225,104
Salt,225,365
Salt,334,337
Salt,27,205
Salt,130,16
Salt,168,360
Salt,133,170
Salt,274,215
Salt,190,259
Salt,305,331
Salt,157,280
Salt,370,195
Salt,171,134
Salt,257,119
Salt,136,51
Salt,79,103
Salt,12,255
Salt,245,166
Salt,276,345
Salt,178,147
Salt,326,334
Salt,245,58
Salt,143,148
Salt,243,243
Salt,318,250
Salt,322,24
Salt,119,236
Salt,216,204
Salt,203,70
Salt,97,373
Salt,337,205
Salt,138,331
Salt,233,154
Salt,207,68
Salt,301,378
Salt,204,338
Salt,319,354
Salt,249,300
Salt,334,26
Salt,224,96
Salt,245,18
Salt,39,15
Salt,140,144
Salt,318,156
Salt,345,262
Salt,179,165
Salt,72,1
Salt,0,393
Salt,11,353
Salt,282,11
Salt,172,107
Salt,306,208
Salt,263,202
Salt,83,71
Salt,79,183
Salt,399,271
Salt,161,29
Salt,300,347
Salt,283,215
Salt,93,114
Salt,269,205
Salt,352,285
Salt,360,46
Salt,302,362
Salt,17,375
Salt,302,330
Salt,335,43
Salt,66,166
Salt,128,280
Salt,52,193
Salt,322,352
Salt,105,246
Salt,285,61
Salt,126,355
Salt,37,130
Salt,52,307
Salt,66,46
Salt,223,238
Salt,159,66
Salt,386,286
Salt,205,187
Salt,109,39
Salt,234,89
Salt,210,61
Salt,238,385
Salt,64,190
Salt,214,133
Salt,115,172
Salt,74,288
Salt,317,28
Salt,292,240
Salt,134,337
Salt,86,109
Salt,24,51
Salt,187,231
Salt,62,91
Salt,109,311
Salt,45,278
Salt,201,69
Salt,296,25
Salt,266,195
Salt,193,124
Salt,362,138
Salt,144,2
Salt,234,173
Salt,177,172
Salt,244,261
Salt,24,306
Salt,179,378
Salt,76,243
Salt,147,44
Salt,27,77
Salt,180,112
Salt,120,132
Salt,163,188
Salt,67,227
Salt,338,378
Salt,363,373
Salt,343,3
Salt,263,205
Salt,306,88
Salt,270,143
Salt,88,266
Salt,71,318
Salt,366,205
Salt,269,292
Salt,271,124
Salt,298,226
Salt,273,108
Salt,336,8
Salt,306,278
Salt,202,173
Salt,75,90
Salt,132,1
Salt,23,6
Salt,165,295
Salt,315,392
Salt,374,28
Salt,48,60
Salt,239,130
Salt,156,230
Salt,385,5
Salt,2,12
Salt,300,68
Salt,222,190
Salt,249,45
Salt,256,98
Salt,37,366
Salt,56,201
Salt,166,352
Salt,246,340
Salt,328,294
Salt,186,122
Salt,55,193
Salt,27,94
Salt,291,280
Salt,99,205
Salt,240,224
Salt,1,109
Salt,280,27
Salt,360,256
Salt,363,150
Salt,12,181
Salt,343,346
Salt,322,300
Salt,302,107
Salt,293,50
Salt,9,292
Salt,389,49
Salt,135,9
Salt,81,307
Salt,78,117
Salt,298,139
Salt,42,297
Salt,299,71
Salt,322,111
Salt,186,373
Salt,60,233
Salt,110,369
Salt,102,185
Salt,389,248
Salt,179,123
Salt,366,87
Salt,122,372
Salt,392,278
Salt,290,284
Salt,96,361
Salt,158,72
Salt,211,101
Salt,350,115
Salt,354,142
Salt,315,113
Salt,43,45
Salt,286,92
Salt,26,210
Salt,225,177
Salt,96,193
Salt,342,294
Salt,107,385
Salt,237,98
Salt,76,224
Salt,314,145
Salt,210,247
Salt,246,363
Salt,312,53
Salt,326,159
Salt,34,31
Salt,317,285
Salt,226,107
Salt,220,275
Salt,43,46
Salt,94,160
Salt,154,285
Salt,282,44
Salt,56,205
Salt,210,101
Salt,386,345
Salt,241,378
Salt,159,383
Salt,363,276
Salt,199,312
Salt,86,159
Salt,384,114
Salt,83,312
Salt,99,124
Salt,0,379
Salt,129,396
Salt,147,147
Salt,73,271
Salt,319,314
Salt,399,257
Salt,15,273
Salt,22,153
Salt,355,199
Salt,254,284
Salt,25,34
Salt,17,347
Salt,66,92
Salt,36,395
Salt,151,352
Salt,93,242
Salt,321,304
Salt,47,122
Salt,85,98
Salt,93,6
Salt,270,384
Salt,69,243
Salt,262,23
Salt,393,267
Salt,198,101
Salt,373,88
Salt,70,97
Salt,74,324
Salt,224,225
Salt,357,176
