Type,X,Y
Salt,4,280
Salt,269,160
Salt,50,187
Salt,125,264
Salt,25,33
Salt,265,39
Salt,36,128
Salt,100,163
Salt,15,1
Salt,231,91
Salt,111,123
Salt,48,113
Salt,153,144
Salt,196,53
Salt,170,213
Salt,297,166
Salt,182,24
Salt,173,262
Salt,288,171
Salt,107,249
Salt,55,185
Salt,222,156
Salt,123,239
Salt,34,61
Salt,59,73
Salt,284,71
Salt,259,167
Salt,76,144
Salt,146,44
Salt,271,41
Salt,74,153
Salt,106,281
Salt,110,292
Salt,211,95
Salt,242,223
Salt,196,126
Salt,182,145
Salt,120,160
Salt,293,116
Salt,275,171
Salt,159,121
Salt,142,75
Salt,265,163
Salt,152,138
Salt,156,75
Salt,196,141
Salt,120,112
Salt,76,290
Salt,139,6
Salt,207,218
Salt,290,74
Salt,102,199
Salt,167,299
Salt,122,272
Salt,80,197
Salt,34,43
Salt,155,276
Salt,138,18
Salt,96,288
Salt,291,120
Salt,78,182
Salt,169,267
Salt,280,299
Salt,178,37
Salt,277,247
Salt,219,163
Salt,184,204
Salt,212,58
Salt,131,207
Salt,39,84
Salt,149,274
Salt,290,66
Salt,191,210
Salt,38,213
Salt,272,261
Salt,149,28
Salt,207,237
Salt,204,181
Salt,165,37
Salt,54,31
Salt,175,201
Salt,295,239
Salt,30,257
Salt,131,193
Salt,23,289
Salt,271,6
Salt,257,253
Salt,150,261
Salt,141,109
Salt,33,244
Salt,76,183
Salt,162,142
Salt,83,117
Salt,236,28
Salt,63,28
Salt,98,83
Salt,272,122
Salt,253,189
Salt,289,190
Salt,84,132
Salt,193,20
Salt,80,31
Salt,259,231
Salt,151,63
Salt,116,215
Salt,141,36
Salt,199,201
Salt,30,108
Salt,78,227
Salt,211,23
Salt,205,196
Salt,251,24
Salt,196,81
Salt,178,255
Salt,59,205
Salt,87,233
Salt,227,266
Salt,105,211
Salt,170,156
Salt,26,14
Salt,222,124
Salt,75,222
Salt,9,120
Salt,29,172
Salt,210,119
Salt,111,116
Salt,209,266
Salt,32,234
Salt,175,60
Salt,291,55
Salt,104,263
Salt,36,277
Salt,28,146
Salt,275,218
Salt,23,120
Salt,254,164
Salt,37,11
Salt,157,78
Salt,299,11
Salt,37,269
Salt,242,108
Salt,65,290
Salt,116,111
Salt,106,297
Salt,234,222
Salt,254,198
Salt,44,142
Salt,147,27
Salt,127,278
Salt,163,171
Salt,109,277
Salt,164,1
Salt,267,167
Salt,80,197
Salt,154,34
Salt,244,248
Salt,116,125
Salt,95,241
Salt,229,224
Salt,253,173
Salt,13,129
Salt,81,145
Salt,247,169
Salt,108,183
Salt,158,123
Salt,10,116
Salt,282,247
Salt,284,5
Salt,272,283
Salt,213,59
Salt,220,7
Salt,46,108
Salt,88,150
Salt,223,145
Salt,95,123
Salt,8,156
Salt,229,75
Salt,76,222
Salt,6,184
Salt,254,46
Salt,67,242
Salt,89,103
Salt,131,132
Salt,122,212
Salt,155,192
Salt,288,116
Salt,111,61
Salt,246,223
Salt,207,259
Salt,59,206
Salt,41,135
Salt,178,143
Salt,90,41
Salt,56,43
Salt,30,111
Salt,12,90
Salt,128,295
Salt,154,92
Salt,133,266
Salt,269,42
Salt,237,67
Salt,4,189
Salt,158,250
Salt,138,33
Salt,176,159
Salt,292,6
Salt,15,205
Salt,34,67
Salt,70,116
Salt,229,37
Salt,205,28
Salt,26,240
Salt,16,0
Salt,179,47
Salt,34,294
Salt,139,75
Salt,32,231
Salt,200,270
Salt,13,173
Salt,266,103
Salt,191,41
Salt,165,138
Salt,37,145
Salt,232,289
Salt,129,236
Salt,39,257
Salt,197,167
Salt,226,92
Salt,84,104
Salt,79,119
Salt,56,14
Salt,227,187
Salt,228,90
Salt,196,295
Salt,23,43
Salt,9,179
Salt,82,292
Salt,265,242
Salt,141,51
Salt,58,275
Salt,228,185
Salt,215,280
Salt,238,104
Salt,56,134
Salt,188,229
Salt,284,96
Salt,296,170
Salt,109,262
Salt,174,145
Salt,255,272
Salt,178,196
Salt,106,166
Salt,102,3
Salt,8,46
Salt,59,235
Salt,12,91
Salt,55,178
Salt,45,156
Salt,50,31
Salt,56,237
Salt,156,22
Salt,171,205
Salt,53,245
Salt,247,31
Salt,18,237
Salt,257,59
Salt,260,198
Salt,104,75
Salt,159,119
Salt,265,170
Salt,183,214
Salt,44,145
Salt,63,109
Salt,49,287
Salt,126,280
Salt,86,66
Salt,162,212
Salt,290,261
Salt,88,42
Salt,223,99
Salt,104,217
Salt,142,144
Salt,95,52
Salt,6,70
Salt,289,101
