Type,X,Y
Salt,229,364
Salt,142,325
Salt,299,224
Salt,350,359
Salt,323,115
Salt,250,199
Salt,71,21
Salt,110,190
Salt,350,167
Salt,82,36
Salt,127,53
Salt,132,136
Salt,164,334
Salt,164,208
Salt,231,306
Salt,182,128
Salt,197,186
Salt,314,194
Salt,366,209
Salt,340,355
Salt,328,228
Salt,226,290
Salt,16,266
Salt,251,309
Salt,44,322
Salt,375,51
Salt,198,269
Salt,43,130
Salt,287,205
Salt,106,125
Salt,3,99
Salt,35,72
Salt,201,160
Salt,19,148
Salt,41,291
Salt,5,164
Salt,398,244
Salt,86,158
Salt,54,71
Salt,258,185
Salt,44,215
Salt,75,126
Salt,288,14
Salt,198,41
Salt,162,314
Salt,46,359
Salt,254,33
Salt,187,126
Salt,250,194
Salt,171,90
Salt,151,231
Salt,293,342
Salt,131,229
Salt,332,185
Salt,159,151
Salt,41,252
Salt,67,36
Salt,342,26
Salt,40,285
Salt,21,203
Salt,336,399
Salt,133,16
Salt,383,21
Salt,180,2
Salt,387,355
Salt,279,360
Salt,196,116
Salt,126,98
Salt,22,81
Salt,218,8
Salt,313,16
Salt,353,195
Salt,139,369
Salt,337,76
Salt,341,229
Salt,186,299
Salt,265,77
Salt,150,121
Salt,313,123
Salt,222,128
Salt,201,211
Salt,151,57
Salt,70,183
Salt,57,41
Salt,74,331
Salt,336,206
Salt,368,314
Salt,20,335
Salt,388,346
Salt,43,262
Salt,103,229
Salt,277,54
Salt,132,134
Salt,319,235
Salt,350,15
Salt,335,256
Salt,366,328
Salt,52,2
Salt,264,62
Salt,257,330
Salt,189,25
Salt,15,246
Salt,83,321
Salt,309,164
Salt,369,301
Salt,187,0
Salt,370,34
Salt,299,43
Salt,188,51
Salt,122,214
Salt,262,238
Salt,282,296
Salt,67,301
Salt,158,132
Salt,7,314
Salt,231,199
Salt,24,395
Salt,172,364
Salt,56,24
Salt,249,187
Salt,262,86
Salt,396,311
Salt,347,357
Salt,369,214
Salt,106,373
Salt,49,15
Salt,84,67
Salt,147,236
Salt,384,305
Salt,114,287
Salt,392,399
Salt,80,119
Salt,272,293
Salt,35,49
Salt,375,253
Salt,178,294
Salt,368,107
Salt,123,121
Salt,97,242
Salt,28,159
Salt,214,214
Salt,85,207
Salt,99,251
Salt,123,129
Salt,81,356
Salt,366,151
Salt,336,393
Salt,67,39
Salt,83,113
Salt,302,127
Salt,216,230
Salt,274,341
Salt,393,222
Salt,379,50
Salt,236,94
Salt,3,89
Salt,286,21
Salt,329,21
Salt,31,27
Salt,143,117
Salt,218,184
Salt,36,239
Salt,216,170
Salt,322,297
Salt,99,84
Salt,91,391
Salt,24,63
Salt,242,359
Salt,98,222
Salt,274,141
Salt,80,1
Salt,126,366
Salt,159,103
Salt,142,245
Salt,328,4
Salt,300,273
Salt,222,174
Salt,81,137
Salt,161,86
Salt,76,156
Salt,395,361
Salt,23,141
Salt,263,354
Salt,388,55
Salt,52,367
Salt,186,215
Salt,367,240
Salt,46,19
Salt,239,22
Salt,3,76
