Type,X,Y
Salt,79,114
Salt,2,292
Salt,19,135
Salt,266,18
Salt,105,190
Salt,146,81
Salt,149,241
Salt,119,86
Salt,159,182
Salt,16,115
Salt,178,121
Salt,167,62
Salt,205,163
Salt,13,256
Salt,179,93
Salt,266,190
Salt,11,77
Salt,177,66
Salt,59,11
Salt,206,92
Salt,160,72
Salt,261,1
Salt,201,107
Salt,171,155
Salt,24,293
Salt,83,212
Salt,266,233
Salt,281,239
Salt,100,233
Salt,149,283
Salt,57,88
Salt,141,7
Salt,245,106
Salt,276,141
Salt,37,106
Salt,190,91
Salt,162,292
Salt,158,288
Salt,135,167
Salt,251,29
Salt,277,148
Salt,25,293
Salt,256,297
Salt,159,106
Salt,107,86
Salt,279,92
Salt,263,236
Salt,188,164
Salt,87,226
Salt,280,19
Salt,16,183
Salt,276,249
Salt,71,32
Salt,65,269
Salt,15,47
Salt,147,272
Salt,110,129
Salt,250,83
Salt,17,261
Salt,64,247
Salt,184,107
Salt,59,263
Salt,296,233
Salt,0,173
Salt,109,178
Salt,213,46
Salt,66,8
Salt,196,227
Salt,267,210
Salt,217,259
Salt,11,264
Salt,64,236
Salt,47,150
Salt,288,96
Salt,53,280
Salt,98,218
Salt,55,265
Salt,266,134
Salt,129,118
Salt,254,189
Salt,180,159
Salt,200,200
Salt,76,272
Salt,197,136
Salt,117,9
Salt,232,12
Salt,121,153
Salt,169,89
Salt,57,148
Salt,34,114
Salt,242,122
Salt,55,54
Salt,171,248
Salt,289,113
Salt,239,281
Salt,87,292
Salt,235,49
Salt,195,67
Salt,118,277
Salt,250,147
Salt,249,52
Salt,190,216
Salt,299,149
Salt,102,299
Salt,274,2
Salt,54,130
Salt,48,255
Salt,100,268
Salt,19,238
Salt,59,26
Salt,276,14
Salt,203,116
Salt,111,67
Salt,48,255
Salt,93,210
Salt,132,132
Salt,177,202
Salt,17,14
Salt,187,28
Salt,134,270
Salt,200,3
Salt,147,109
Salt,102,253
Salt,5,138
Salt,234,16
Salt,117,158
Salt,185,162
Salt,151,68
Salt,14,275
Salt,51,169
Salt,248,221
Salt,111,121
Salt,10,245
Salt,61,288
Salt,278,283
Salt,264,105
Salt,212,99
Salt,271,74
Salt,12,256
Salt,5,268
Salt,178,66
Salt,153,51
Salt,169,284
Salt,222,151
Salt,2,195
Salt,264,223
Salt,24,209
Salt,285,7
Salt,110,74
Salt,158,166
Salt,265,127
Salt,35,49
Salt,295,33
Salt,105,68
Salt,152,181
Salt,285,10
Salt,62,147
Salt,89,12
Salt,210,15
Salt,180,218
Salt,137,95
Salt,200,202
Salt,112,262
Salt,181,219
Salt,152,103
Salt,184,113
Salt,56,64
Salt,150,215
Salt,174,48
Salt,42,266
Salt,192,85
Salt,168,185
Salt,264,228
Salt,292,232
Salt,162,273
Salt,250,17
Salt,189,244
Salt,299,235
Salt,133,156
Salt,287,110
Salt,87,194
Salt,27,93
Salt,64,172
Salt,183,59
Salt,197,247
Salt,0,286
Salt,170,173
Salt,9,167
Salt,115,209
Salt,151,124
Salt,223,143
Salt,237,190
Salt,239,177
