Type,X,Y
Salt,183,108
Salt,6,297
Salt,220,234
Salt,162,236
Salt,72,5
Salt,171,282
Salt,136,165
Salt,264,38
Salt,264,221
Salt,256,54
Salt,22,215
Salt,104,260
Salt,230,298
Salt,157,6
Salt,237,236
Salt,133,295
Salt,6,3
Salt,59,161
Salt,188,66
Salt,97,277
Salt,209,210
Salt,25,177
Salt,58,84
Salt,179,158
Salt,75,196
Salt,14,270
Salt,114,21
Salt,178,27
Salt,283,276
Salt,146,71
Salt,50,55
Salt,112,2
Salt,239,154
Salt,295,218
Salt,245,231
Salt,77,161
Salt,51,39
Salt,79,272
Salt,55,90
Salt,264,242
Salt,101,148
Salt,107,243
Salt,64,13
Salt,279,61
Salt,215,129
Salt,116,60
Salt,125,18
Salt,194,142
Salt,256,166
Salt,275,118
Salt,260,291
Salt,4,250
Salt,19,179
Salt,118,118
Salt,49,142
Salt,12,264
Salt,233,208
Salt,151,201
Salt,131,126
Salt,13,219
Salt,212,116
Salt,271,129
Salt,133,252
Salt,152,228
Salt,117,286
Salt,132,152
Salt,108,148
Salt,175,248
Salt,266,281
Salt,143,111
Salt,37,188
Salt,46,52
Salt,279,292
Salt,3,57
Salt,158,140
Salt,154,145
Salt,144,134
Salt,12,21
Salt,242,158
Salt,133,274
Salt,108,170
Salt,156,257
Salt,94,181
Salt,107,116
Salt,154,207
Salt,125,230
Salt,220,220
Salt,75,187
Salt,259,294
Salt,51,195
Salt,204,49
Salt,288,209
Salt,239,200
Salt,296,27
Salt,61,37
Salt,281,18
Salt,267,47
Salt,77,226
Salt,179,275
Salt,295,207
Salt,8,141
Salt,118,218
Salt,144,3
Salt,289,110
Salt,150,109
Salt,52,277
Salt,189,240
Salt,198,211
Salt,162,266
Salt,220,36
Salt,280,108
Salt,133,146
Salt,201,176
Salt,194,265
Salt,152,127
Salt,129,177
Salt,269,122
Salt,137,167
Salt,127,85
Salt,77,201
Salt,10,116
Salt,271,29
Salt,159,277
Salt,45,102
Salt,285,251
Salt,103,240
Salt,87,137
Salt,86,102
Salt,204,80
Salt,232,141
Salt,297,157
Salt,6,15
Salt,274,230
Salt,36,156
Salt,4,77
Salt,126,281
Salt,248,123
Salt,290,294
Salt,68,299
Salt,124,46
Salt,54,42
Salt,156,269
Salt,145,190
Salt,148,150
Salt,175,80
Salt,151,140
Salt,201,160
Salt,199,80
Salt,63,59
Salt,243,64
Salt,77,253
Salt,9,174
Salt,27,200
Salt,138,236
Salt,179,24
Salt,279,206
Salt,229,2
Salt,156,231
Salt,134,231
Salt,210,148
Salt,295,27
Salt,280,107
Salt,23,215
Salt,111,78
Salt,269,295
Salt,230,281
Salt,213,65
Salt,21,105
Salt,7,204
Salt,183,221
Salt,297,129
Salt,230,188
Salt,242,166
Salt,284,4
Salt,204,163
Salt,80,71
Salt,33,51
Salt,249,77
Salt,130,55
Salt,144,166
Salt,131,233
Salt,101,206
